,Network,Station,Latitude,Longitude,Distance,Azimuth
108,TA,C23A,47.802601,-105.184402,88.61014,154.36921
109,TA,C24A,47.530201,-104.425201,88.1441,154.94077
110,TA,C25A,47.712399,-103.255798,87.97998,155.83264
111,TA,C26A,47.825901,-102.095703,87.76879,156.721
112,TA,C27A,47.713902,-101.502899,87.509,157.17376
113,TA,C28A,47.715698,-100.3871,87.22332,158.0323
114,TA,C30A,47.702599,-98.478302,86.74392,159.50911
115,TA,D19A,47.1646,-108.879997,89.1817,151.59262
116,TA,D20A,47.091099,-108.1362,88.87722,152.1453
117,TA,D21A,47.0658,-106.993896,88.49482,152.99837
118,TA,D22A,47.149799,-106.179703,88.31979,153.61048
119,TA,D23A,47.173,-105.2071,88.0492,154.34373
120,TA,D24A,47.1152,-104.327003,87.73976,155.00866
121,TA,D25A,47.150799,-103.320297,87.48566,155.77407
122,TA,D26A,47.030102,-102.435699,87.1303,156.44635
123,TA,D27A,47.108101,-101.525398,86.9566,157.1448
124,TA,D28A,47.192902,-100.569199,86.78512,157.88144
125,TA,D29A,47.060501,-99.595703,86.41565,158.62942
126,TA,D30A,47.1082,-98.757599,86.25431,159.2793
127,TA,E19A,46.461102,-108.786003,88.53209,151.65524
128,TA,E20A,46.503799,-108.130096,88.35606,152.14285
129,TA,E21A,46.540798,-107.075699,88.0528,152.92964
130,TA,E22A,46.438599,-105.948799,87.61192,153.77241
131,TA,E23A,46.497799,-105.306198,87.47035,154.25711
132,TA,E24A,46.560799,-104.307297,87.23156,155.01299
133,TA,E25A,46.5009,-103.401299,86.91606,155.69902
134,TA,E26A,46.471199,-102.462097,86.62529,156.4137
135,TA,E27A,46.429298,-101.564499,86.34165,157.09902
136,TA,E28A,46.574799,-100.693398,86.24489,157.77134
137,TA,E29A,46.568199,-99.641998,85.96886,158.58146
138,TA,E30A,46.502102,-98.909798,85.72478,159.14598
139,TA,F04D,46.082901,-123.010803,93.66043,141.50099
140,TA,F19A,45.853802,-108.943703,88.05021,151.5295
141,TA,F20A,45.800598,-108.148804,87.74061,152.11732
142,TA,F21A,45.823101,-107.123299,87.42904,152.88077
143,TA,F22A,45.7794,-106.256897,87.11653,153.52742
144,TA,F23A,45.721199,-105.405602,86.8013,154.16493
145,TA,F24A,45.8452,-104.444801,86.62379,154.89232
146,TA,F25A,45.925598,-103.457603,86.40801,155.64211
147,TA,F26A,45.8512,-102.669701,86.11551,156.23928
148,TA,F27A,45.8727,-102.020302,85.954,156.73531
149,TA,F28A,45.848499,-100.800499,85.60107,157.66904
150,TA,F29A,45.833599,-99.827301,85.33262,158.41761
151,TA,F30A,45.835602,-99.025002,85.13078,159.03746
152,TA,G03D,45.211498,-123.264099,93.09041,141.35922
153,TA,G05D,45.242199,-121.316704,92.26695,142.6915
154,TA,G20A,45.2202,-108.214104,87.24938,152.05668
155,TA,G21A,45.224998,-107.207001,86.92387,152.80459
156,TA,G22A,45.218899,-106.292397,86.62614,153.48687
157,TA,G23A,45.201199,-105.390701,86.3288,154.16224
158,TA,G24A,45.327999,-104.416298,86.14702,154.89971
159,TA,G25A,45.193501,-103.417297,85.72947,155.65157
160,TA,G26A,45.293701,-102.598999,85.58525,156.27655
161,TA,G27A,45.379101,-101.931,85.47575,156.78869
162,TA,G28A,45.074902,-100.9161,84.91689,157.55549
163,TA,G29A,45.1926,-99.923401,84.76176,158.32275
164,TA,G30A,45.129299,-99.1446,84.50176,158.92165
165,TA,H17A,44.3951,-110.576202,87.33829,150.30116
